,epoch,train_loss,val_loss
0,1,572.1821837425232,0.0
1,2,495.83033514022827,0.0
2,3,489.8207244873047,0.0
3,4,481.94758129119873,0.0
4,5,479.95799255371094,0.0
5,6,481.92183208465576,0.0
6,7,481.863064289093,0.0
7,8,479.36604404449463,0.0
8,9,479.0971636772156,0.0
9,10,478.3300666809082,167.0799446105957
10,11,476.98308658599854,0.0
